 v-sweep         v(V1)           v(V2)           v(Vout)        
 3.43000000e-01  3.43000000e-01  0.00000000e+00  7.48618628e-01 
 3.44000000e-01  3.44000000e-01  0.00000000e+00  7.50171569e-01 
 3.45000000e-01  3.45000000e-01  0.00000000e+00  7.51766108e-01 
 3.46000000e-01  3.46000000e-01  0.00000000e+00  7.53403833e-01 
 3.47000000e-01  3.47000000e-01  0.00000000e+00  7.55084502e-01 
 3.48000000e-01  3.48000000e-01  0.00000000e+00  7.56810770e-01 
 3.49000000e-01  3.49000000e-01  0.00000000e+00  7.58582350e-01 
 3.50000000e-01  3.50000000e-01  0.00000000e+00  7.60401949e-01 
 3.51000000e-01  3.51000000e-01  0.00000000e+00  7.62269389e-01 
 3.52000000e-01  3.52000000e-01  0.00000000e+00  7.64186969e-01 
 3.53000000e-01  3.53000000e-01  0.00000000e+00  7.66155723e-01 
 3.54000000e-01  3.54000000e-01  0.00000000e+00  7.68177300e-01 
 3.55000000e-01  3.55000000e-01  0.00000000e+00  7.70252108e-01 
 3.56000000e-01  3.56000000e-01  0.00000000e+00  7.72382183e-01 
 3.57000000e-01  3.57000000e-01  0.00000000e+00  7.74569319e-01 
 3.58000000e-01  3.58000000e-01  0.00000000e+00  7.76814545e-01 
 3.59000000e-01  3.59000000e-01  0.00000000e+00  7.79119178e-01 
 3.60000000e-01  3.60000000e-01  0.00000000e+00  7.81485050e-01 
 3.61000000e-01  3.61000000e-01  0.00000000e+00  7.83913675e-01 
 3.62000000e-01  3.62000000e-01  0.00000000e+00  7.86406574e-01 
 3.63000000e-01  3.63000000e-01  0.00000000e+00  7.88966043e-01 
